  12     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00    1.00     .00     .00     .00    1.00     .00
  14     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  15     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  19     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  28     .00     .00    1.00     .00     .00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00
  32     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00    1.00    1.00    1.00
  40     .00    1.00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00    1.00     .00     .00
  48     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  49     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00     .00    1.00    1.00     .00
  50     .00    1.00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00     .00
  56     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  57     .00    1.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  58     .00    1.00     .00     .00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00    1.00    1.00
  59    1.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00    1.00    1.00
  61     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  65     .00    1.00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  66    1.00    1.00     .00    1.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  68    1.00    1.00     .00     .00     .00     .00     .00     .00    1.00     .00     .00     .00     .00    1.00     .00     .00
  71     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00     .00     .00
  77     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  87     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  90     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
  92     .00    1.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00     .00     .00
  93     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00     .00     .00
  96     .00    1.00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00    1.00
  98     .00    1.00     .00     .00     .00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00
 100     .00    1.00     .00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00    1.00    1.00    1.00
 102     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00    1.00    1.00
